epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.898,1.90544,6.68642,0.85047,0.65129,0.43705,0.45789,0.21482,1.7712,4.26025,0.75931,0.07003,0.00333,0.00333
2,595.367,1.81304,5.10367,0.80673,0.65719,0.45491,0.47801,0.21189,1.86889,4.30154,0.77597,0.039997,0.00663035,0.00663035
3,916.019,1.84107,5.14781,0.809,0.67382,0.441,0.479,0.21131,1.91841,4.33765,0.78112,0.00993103,0.0098977,0.0098977
4,1215.49,1.85297,5.11455,0.81511,0.68014,0.46614,0.50399,0.2294,1.86147,4.12072,0.78223,0.0098515,0.0098515,0.0098515
5,1503.75,1.85062,4.92682,0.80955,0.69316,0.46247,0.50721,0.23879,1.82775,4.11226,0.77244,0.009802,0.009802,0.009802
6,1809.97,1.85103,4.83056,0.81102,0.69612,0.48766,0.53721,0.26412,1.72824,4.05149,0.75238,0.0097525,0.0097525,0.0097525
7,2126.16,1.82204,4.64656,0.80189,0.69139,0.49012,0.54032,0.25317,1.80679,3.89417,0.7674,0.009703,0.009703,0.009703
8,2416.09,1.80185,4.50968,0.8026,0.71243,0.50319,0.5483,0.26162,1.74888,3.89797,0.75767,0.0096535,0.0096535,0.0096535
9,2722.09,1.79287,4.48069,0.79832,0.71974,0.50609,0.56121,0.27188,1.72923,3.71317,0.75146,0.009604,0.009604,0.009604
10,3009.11,1.79722,4.4014,0.79676,0.71099,0.5246,0.56768,0.26818,1.76105,3.68322,0.75427,0.0095545,0.0095545,0.0095545
11,3312.53,1.7788,4.31945,0.78746,0.70885,0.52077,0.56726,0.27046,1.76816,3.67769,0.75436,0.009505,0.009505,0.009505
12,3625.25,1.76803,4.22837,0.78328,0.72422,0.53968,0.58845,0.29008,1.67589,3.53669,0.73792,0.0094555,0.0094555,0.0094555
13,3934.23,1.75415,4.16363,0.78388,0.70959,0.5314,0.58491,0.2949,1.656,3.50739,0.74182,0.009406,0.009406,0.009406
14,4249.82,1.74637,4.09276,0.77808,0.71949,0.54361,0.58847,0.2985,1.64124,3.38445,0.73609,0.0093565,0.0093565,0.0093565
15,4532.51,1.74062,4.10276,0.78122,0.74934,0.54374,0.59856,0.29142,1.70472,3.39067,0.74059,0.009307,0.009307,0.009307
16,4834.87,1.74341,4.04841,0.78281,0.74215,0.54803,0.59961,0.29434,1.68319,3.45403,0.74003,0.0092575,0.0092575,0.0092575
17,5103.57,1.73196,4.03591,0.77998,0.75171,0.54365,0.60631,0.3016,1.67507,3.36494,0.74129,0.009208,0.009208,0.009208
18,5370.59,1.72766,3.99841,0.77338,0.74398,0.55031,0.60318,0.29839,1.67437,3.44862,0.73611,0.0091585,0.0091585,0.0091585
19,5637.8,1.72603,3.95774,0.77905,0.73135,0.55309,0.60012,0.29814,1.67264,3.39381,0.73668,0.009109,0.009109,0.009109
20,5904.82,1.71722,3.93478,0.77266,0.74244,0.56171,0.60898,0.30074,1.66761,3.34185,0.73275,0.0090595,0.0090595,0.0090595
21,6227.46,1.70512,3.88123,0.77038,0.75859,0.55669,0.61244,0.30383,1.6655,3.31252,0.73069,0.00901,0.00901,0.00901
22,6495.65,1.69452,3.81261,0.7669,0.7386,0.56505,0.61781,0.31224,1.63215,3.24815,0.72794,0.0089605,0.0089605,0.0089605
23,6770.66,1.69571,3.84291,0.76671,0.75453,0.55576,0.62194,0.3124,1.63464,3.24933,0.72426,0.008911,0.008911,0.008911
24,7056.43,1.6828,3.80345,0.76235,0.74144,0.55603,0.60978,0.29839,1.67406,3.31096,0.73065,0.0088615,0.0088615,0.0088615
25,7335.32,1.69116,3.81192,0.76202,0.75498,0.56947,0.62834,0.32129,1.60196,3.14466,0.72235,0.008812,0.008812,0.008812
26,7616.66,1.68122,3.74827,0.76355,0.7323,0.57262,0.62756,0.31919,1.62287,3.19004,0.7241,0.0087625,0.0087625,0.0087625
27,7887.82,1.69317,3.78043,0.76225,0.75354,0.56341,0.62539,0.31802,1.61662,3.18577,0.72481,0.008713,0.008713,0.008713
28,8157.87,1.68087,3.75136,0.75911,0.76128,0.55896,0.62653,0.32165,1.60985,3.16544,0.72062,0.0086635,0.0086635,0.0086635
