epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.678,1.7765,5.00158,0.78563,0.68268,0.42448,0.46636,0.22556,1.69114,3.52594,0.69087,0.07003,0.00333,0.00333
2,639.938,1.68419,4.02882,0.73589,0.70351,0.4494,0.49086,0.24164,1.65793,3.65089,0.68468,0.039997,0.00663035,0.00663035
3,979.926,1.73155,4.22961,0.73631,0.67781,0.44191,0.47999,0.22185,1.75943,3.56623,0.70118,0.00993103,0.0098977,0.0098977
4,1313.09,1.77844,4.30265,0.74913,0.67995,0.43595,0.47035,0.22004,1.78631,3.69767,0.71837,0.0098515,0.0098515,0.0098515
5,1598.92,1.79454,4.2638,0.75018,0.68843,0.45934,0.49163,0.22778,1.77417,3.58325,0.71822,0.009802,0.009802,0.009802
6,1884.41,1.78856,4.20004,0.75079,0.69882,0.4396,0.48299,0.22616,1.77214,3.62238,0.71652,0.0097525,0.0097525,0.0097525
7,2169.35,1.77112,4.05598,0.7445,0.72234,0.4571,0.51177,0.2485,1.72946,3.40804,0.71061,0.009703,0.009703,0.009703
8,2453.69,1.74392,3.95343,0.74379,0.72493,0.47721,0.53283,0.2614,1.65759,3.32202,0.69456,0.0096535,0.0096535,0.0096535
9,2737.98,1.73384,3.89247,0.73894,0.74884,0.48521,0.54995,0.27153,1.66236,3.28921,0.69148,0.009604,0.009604,0.009604
10,3022.74,1.73806,3.85778,0.73783,0.72821,0.50163,0.55224,0.26311,1.75709,3.29579,0.71285,0.0095545,0.0095545,0.0095545
11,3307.56,1.72418,3.80717,0.73159,0.74414,0.49121,0.54667,0.26515,1.6925,3.27783,0.70279,0.009505,0.009505,0.009505
12,3591.98,1.70728,3.72547,0.7279,0.74733,0.5073,0.56297,0.27972,1.66506,3.16452,0.69535,0.0094555,0.0094555,0.0094555
13,3876.41,1.69327,3.65089,0.72776,0.73428,0.50796,0.56418,0.28241,1.6577,3.14615,0.69489,0.009406,0.009406,0.009406
14,4161.13,1.68761,3.60577,0.72185,0.74919,0.49936,0.56333,0.27673,1.64534,3.10801,0.69262,0.0093565,0.0093565,0.0093565
15,4445.49,1.67344,3.60255,0.72202,0.75413,0.50496,0.56418,0.27923,1.64816,3.05474,0.68694,0.009307,0.009307,0.009307
16,4730.39,1.67154,3.52596,0.72149,0.74574,0.51249,0.56608,0.28662,1.61916,3.06568,0.68317,0.0092575,0.0092575,0.0092575
17,5014.82,1.66017,3.52302,0.72186,0.74799,0.51955,0.57801,0.29551,1.59093,3.05122,0.68161,0.009208,0.009208,0.009208
18,5299.42,1.65695,3.50684,0.71375,0.73486,0.52316,0.5799,0.29742,1.59334,3.02633,0.68128,0.0091585,0.0091585,0.0091585
19,5584.29,1.65573,3.47911,0.71985,0.75504,0.50971,0.56972,0.28829,1.60633,2.99778,0.68747,0.009109,0.009109,0.009109
20,5869.2,1.6466,3.41914,0.71443,0.74589,0.5322,0.59097,0.30012,1.59582,2.98055,0.67832,0.0090595,0.0090595,0.0090595
21,6154.33,1.63477,3.39461,0.71151,0.75489,0.53328,0.58932,0.30236,1.56675,2.91907,0.67858,0.00901,0.00901,0.00901
22,6438.87,1.62459,3.33534,0.70956,0.7685,0.52202,0.59188,0.30412,1.58744,2.96273,0.67707,0.0089605,0.0089605,0.0089605
23,6723.37,1.62118,3.32967,0.70902,0.75262,0.53692,0.59405,0.31038,1.56092,2.93295,0.67762,0.008911,0.008911,0.008911
24,7007.88,1.61001,3.29867,0.70806,0.75584,0.53386,0.59289,0.30268,1.5551,2.8795,0.67446,0.0088615,0.0088615,0.0088615
25,7292.45,1.61033,3.30314,0.70269,0.7469,0.53327,0.59416,0.31328,1.52311,2.86757,0.67121,0.008812,0.008812,0.008812
26,7577,1.60209,3.26753,0.70444,0.75625,0.53954,0.60362,0.31528,1.54293,2.85981,0.67286,0.0087625,0.0087625,0.0087625
27,7862.26,1.61883,3.3018,0.70519,0.7481,0.54914,0.60658,0.3078,1.56598,2.89489,0.67576,0.008713,0.008713,0.008713
28,8147.07,1.60206,3.24086,0.70234,0.76398,0.53745,0.60905,0.32474,1.50093,2.80839,0.66781,0.0086635,0.0086635,0.0086635
29,8431.93,1.5897,3.2269,0.70296,0.7612,0.54207,0.60799,0.30945,1.57173,2.84845,0.67341,0.008614,0.008614,0.008614
30,8716.86,1.59424,3.18713,0.70217,0.76834,0.54675,0.60066,0.31779,1.53607,2.78751,0.67342,0.0085645,0.0085645,0.0085645
31,9002.12,1.58416,3.22258,0.7019,0.76214,0.55088,0.61166,0.32287,1.51285,2.7601,0.66992,0.008515,0.008515,0.008515
32,9286.38,1.57843,3.16466,0.69948,0.75821,0.55319,0.61318,0.32008,1.52325,2.76632,0.66637,0.0084655,0.0084655,0.0084655
33,9571.19,1.57939,3.15392,0.69819,0.76988,0.55011,0.61405,0.32836,1.48766,2.75631,0.66673,0.008416,0.008416,0.008416
34,9855.87,1.57729,3.1694,0.69936,0.76862,0.54688,0.61668,0.32472,1.50207,2.804,0.66479,0.0083665,0.0083665,0.0083665
35,10140,1.57988,3.11644,0.6956,0.74653,0.56003,0.61993,0.32353,1.52472,2.76567,0.66964,0.008317,0.008317,0.008317
36,10424.2,1.56989,3.12957,0.69306,0.79128,0.54339,0.62024,0.33183,1.49778,2.72824,0.66233,0.0082675,0.0082675,0.0082675
37,10708.8,1.56076,3.08213,0.69451,0.75818,0.5694,0.63107,0.32598,1.52415,2.74489,0.66589,0.008218,0.008218,0.008218
