epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1435.75,1.53315,1.9956,1.10231,0.73258,0.49461,0.59479,0.33425,1.49155,1.25324,1.0041,0.0702143,0.00330952,0.00330952
2,2863.25,1.4687,1.25347,1.04406,0.70141,0.53774,0.61019,0.32417,1.5617,1.13538,1.02074,0.0401814,0.00660997,0.00660997
3,5098.99,1.51934,1.4458,1.06277,0.69818,0.41779,0.50678,0.26871,1.6883,1.40743,1.04894,0.0101155,0.00987743,0.00987743
4,6519.37,1.58258,1.4291,1.07798,0.64767,0.5027,0.5479,0.26351,1.70179,1.25259,1.0993,0.0098515,0.0098515,0.0098515
5,7837.43,1.58447,1.34613,1.09596,0.66937,0.45687,0.5288,0.26117,1.7604,1.3478,1.08958,0.009802,0.009802,0.009802
6,9074.77,1.59804,1.27066,1.09096,0.66744,0.47335,0.55155,0.28953,1.70178,1.24407,1.0799,0.0097525,0.0097525,0.0097525
7,10211.2,1.60042,1.25082,1.08565,0.71814,0.43265,0.47934,0.22132,1.82629,1.34122,1.1363,0.009703,0.009703,0.009703
8,11262.2,1.59642,1.26227,1.10518,0.7358,0.50943,0.59036,0.30357,1.63806,1.21392,1.09156,0.0096535,0.0096535,0.0096535
9,12314.6,1.59411,1.24553,1.09958,0.71123,0.39892,0.50733,0.26485,1.71106,1.32815,1.10918,0.009604,0.009604,0.009604
10,13382.6,1.57282,1.19255,1.08181,0.68909,0.50674,0.58548,0.30305,1.67466,1.22927,1.08561,0.0095545,0.0095545,0.0095545
11,14452.2,1.53787,1.14685,1.06984,0.68777,0.52965,0.59457,0.29557,1.73321,1.18707,1.07589,0.009505,0.009505,0.009505
12,15532.9,1.55139,1.14099,1.07635,0.69401,0.5716,0.62069,0.31311,1.68013,1.14549,1.08005,0.0094555,0.0094555,0.0094555
13,16605.8,1.51803,1.12323,1.07012,0.72898,0.54376,0.62066,0.31503,1.6788,1.18177,1.07097,0.009406,0.009406,0.009406
14,17683.7,1.5084,1.11836,1.0597,0.71128,0.5566,0.62853,0.33572,1.61821,1.09787,1.07437,0.0093565,0.0093565,0.0093565
15,18759.9,1.49541,1.07787,1.06047,0.75123,0.50135,0.59482,0.31375,1.63006,1.17991,1.08285,0.009307,0.009307,0.009307
16,19826.2,1.50511,1.11272,1.05571,0.69851,0.56739,0.62367,0.31615,1.67912,1.24721,1.07588,0.0092575,0.0092575,0.0092575
17,20918,1.48679,1.06218,1.05025,0.74072,0.54043,0.61794,0.3235,1.64299,1.12738,1.07753,0.009208,0.009208,0.009208
18,21991,1.47587,1.06511,1.04946,0.75463,0.55526,0.63724,0.3415,1.60396,1.08809,1.05967,0.0091585,0.0091585,0.0091585
19,23070,1.46584,1.05034,1.03983,0.74888,0.55391,0.63819,0.32533,1.65929,1.10206,1.0709,0.009109,0.009109,0.009109
20,24149.8,1.45325,1.03613,1.03887,0.70363,0.56469,0.62605,0.34308,1.55393,1.09964,1.05941,0.0090595,0.0090595,0.0090595
21,25219.1,1.44874,1.01195,1.04558,0.74177,0.58086,0.654,0.34342,1.61779,1.03948,1.06929,0.00901,0.00901,0.00901
22,26305.5,1.43059,0.99172,1.02863,0.77176,0.54717,0.63706,0.32738,1.67131,1.08748,1.06845,0.0089605,0.0089605,0.0089605
23,27378.8,1.4382,0.99357,1.02893,0.71721,0.56057,0.6392,0.32683,1.6384,1.10922,1.05885,0.008911,0.008911,0.008911
24,28452.4,1.41246,0.97144,1.02631,0.75132,0.60377,0.66562,0.35319,1.63121,1.05272,1.05001,0.0088615,0.0088615,0.0088615
25,29519.3,1.41088,0.97175,1.02413,0.76951,0.55391,0.66289,0.35979,1.55622,1.04167,1.04948,0.008812,0.008812,0.008812
26,30590.1,1.41393,0.98665,1.02659,0.75842,0.57965,0.66225,0.34036,1.63852,1.04504,1.07658,0.0087625,0.0087625,0.0087625
27,31652.3,1.41216,0.95729,1.02753,0.79328,0.54987,0.66369,0.3512,1.60699,1.02709,1.065,0.008713,0.008713,0.008713
28,32718.8,1.39941,0.94873,1.01305,0.73578,0.59434,0.66403,0.35657,1.52712,1.03755,1.0424,0.0086635,0.0086635,0.0086635
29,33779.8,1.39507,0.95232,1.01244,0.76539,0.59358,0.66935,0.35614,1.58195,1.02595,1.05466,0.008614,0.008614,0.008614
30,34846.3,1.3838,0.93881,1.00875,0.75285,0.57817,0.66951,0.35115,1.56162,1.03513,1.05125,0.0085645,0.0085645,0.0085645
31,35902.1,1.38318,0.93263,1.00599,0.77822,0.55332,0.67099,0.35187,1.5628,1.04094,1.0436,0.008515,0.008515,0.008515
32,36975.6,1.37409,0.92198,1.00334,0.82324,0.57008,0.6854,0.3533,1.59975,1.03332,1.05833,0.0084655,0.0084655,0.0084655
33,38033.4,1.37057,0.90858,1.00468,0.75974,0.57534,0.67275,0.34153,1.62158,1.04114,1.0772,0.008416,0.008416,0.008416
34,39088.6,1.35922,0.90196,1.00264,0.77952,0.61467,0.69264,0.37239,1.55348,0.98228,1.04488,0.0083665,0.0083665,0.0083665
35,40155.4,1.32358,0.88091,0.99327,0.75771,0.60782,0.68414,0.36861,1.60862,1.01656,1.05533,0.008317,0.008317,0.008317
36,41219.4,1.35802,0.89083,0.99462,0.79709,0.61944,0.70776,0.37942,1.55936,0.95788,1.04758,0.0082675,0.0082675,0.0082675
37,42281.2,1.33412,0.87792,0.99106,0.75466,0.59838,0.67458,0.35435,1.56691,1.01103,1.04114,0.008218,0.008218,0.008218
38,43358,1.32817,0.87823,0.98661,0.78919,0.62803,0.70603,0.37448,1.53072,0.98754,1.03936,0.0081685,0.0081685,0.0081685
39,44452.4,1.31994,0.85495,0.98476,0.75609,0.61186,0.68693,0.36472,1.58527,1.0048,1.03772,0.008119,0.008119,0.008119
40,45546.2,1.32931,0.86504,0.98707,0.79027,0.60243,0.69162,0.36142,1.57889,0.96223,1.04345,0.0080695,0.0080695,0.0080695
41,46613.4,1.31557,0.84774,0.98654,0.75209,0.61186,0.69751,0.37517,1.56572,0.98173,1.02766,0.00802,0.00802,0.00802
42,47689.3,1.30403,0.86178,0.97558,0.7656,0.5903,0.68857,0.36698,1.54621,0.99108,1.03898,0.0079705,0.0079705,0.0079705
43,48775,1.30396,0.84624,0.98663,0.70788,0.62129,0.69358,0.35641,1.59615,1.00814,1.04127,0.007921,0.007921,0.007921
44,49850.6,1.28921,0.8439,0.97369,0.80849,0.58034,0.69711,0.36924,1.53147,0.96681,1.0356,0.0078715,0.0078715,0.0078715
45,50913.6,1.30882,0.84011,0.97698,0.77684,0.65213,0.73232,0.38846,1.50815,0.92212,1.02492,0.007822,0.007822,0.007822
46,52036.2,1.27425,0.82161,0.967,0.80111,0.61186,0.70541,0.39105,1.48146,1.00171,1.02269,0.0077725,0.0077725,0.0077725
47,53205.8,1.26305,0.80975,0.96519,0.74793,0.6469,0.71483,0.39203,1.48965,0.93948,1.01711,0.007723,0.007723,0.007723
48,54386.8,1.27753,0.81319,0.97049,0.77829,0.63747,0.70262,0.37532,1.58883,0.97496,1.04352,0.0076735,0.0076735,0.0076735
49,55565.5,1.28098,0.82039,0.97249,0.76966,0.62938,0.70754,0.38397,1.56993,0.92456,1.03523,0.007624,0.007624,0.007624
50,56758.8,1.27688,0.81198,0.97056,0.77345,0.64016,0.70366,0.38789,1.50623,0.93456,1.03034,0.0075745,0.0075745,0.0075745
51,57939.6,1.26585,0.81506,0.96159,0.76969,0.62803,0.70945,0.38245,1.51831,0.94158,1.03102,0.007525,0.007525,0.007525
